RegionName,Date,State,Metro,County,City,SizeRank,Zri,YoY,ZriRecordCnt
98851,9/30/18,WA,Moses Lake,Grant,Soap Lake,12262,906,0.024886878,1324
98524,9/30/18,WA,Shelton,Mason,Allyn,12332,1515,-0.008507853,1564
99111,9/30/18,WA,Pullman,Whitman,Colfax,12358,1199,0.190665343,980
98333,9/30/18,WA,Seattle-Tacoma-Bellevue,Pierce,Fox Island,12435,2416,0.016835017,2144
98570,9/30/18,WA,Centralia,Lewis,Onalaska,12453,1291,0.120659722,925
98232,9/30/18,WA,Mount Vernon-Anacortes,Skagit,Bow,12573,1795,-0.037017167,1499
99122,9/30/18,WA,,Lincoln,Davenport,12574,1254,0.051131601,1720
98051,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Ravensdale,12583,2284,-0.012110727,1021
98261,9/30/18,WA,,San Juan,Eastsound,12661,1821,-0.055497925,1511
98932,9/30/18,WA,Yakima,Yakima,Granger,12819,941,-0.007383966,871
99009,9/30/18,WA,Spokane-Spokane Valley,Spokane,Elk,12926,1398,-0.022377622,686
99166,9/30/18,WA,,Ferry,Republic,12927,1237,0.055460751,1065
98557,9/30/18,WA,Aberdeen,Grays Harbor,McCleary,12983,1118,0.045837231,1205
98546,9/30/18,WA,Shelton,Mason,Grapeview,13080,1499,-0.034149485,1585
98612,9/30/18,WA,,Wahkiakum,Cathlamet,13146,1543,-0.017197452,1138
98039,9/30/18,WA,Seattle-Tacoma-Bellevue,King,Medina,13149,8010,-0.060851214,1231
98392,9/30/18,WA,Bremerton-Silverdale,Kitsap,Suquamish,13202,1529,-0.013548387,1140
98648,9/30/18,WA,Portland-Vancouver-Hillsboro,Skamania,Stevenson,13241,1615,-0.009202454,1180
98240,9/30/18,WA,Bellingham,Whatcom,Custer,13252,1589,-0.097671777,768
99323,9/30/18,WA,Walla Walla,Walla Walla,Burbank,13377,1380,-0.010043042,579
98601,9/30/18,WA,Portland-Vancouver-Hillsboro,Clark,Amboy,13477,1895,-0.001580611,658
98548,9/30/18,WA,Shelton,Mason,Hoodsport,13489,1206,0.057894737,1385
98340,9/30/18,WA,Bremerton-Silverdale,Kitsap,Hansville,13517,1896,-0.044354839,1464
98857,9/30/18,WA,Moses Lake,Grant,Warden,13575,924,0.002169197,1305
99148,9/30/18,WA,Spokane-Spokane Valley,Stevens,Loon Lake,13596,1391,-0.01556971,2065
98244,9/30/18,WA,Bellingham,Whatcom,Deming,13725,1437,0.005598321,1632
98935,9/30/18,WA,Yakima,Yakima,Mabton,13875,997,0.025720165,558
98610,9/30/18,WA,Portland-Vancouver-Hillsboro,Skamania,Carson,13940,1460,0.021693492,980
98592,9/30/18,WA,Shelton,Mason,Union,14027,1476,0.023578363,1234
98253,9/30/18,WA,Oak Harbor,Island,Greenbank,14066,1686,0.01018574,1447
98564,9/30/18,WA,Centralia,Lewis,Mossyrock,14082,1183,0.19979716,1395
98376,9/30/18,WA,,Jefferson,Quilcene,14129,1577,0.024691358,1107
99326,9/30/18,WA,Kennewick-Richland,Franklin,Connell,14139,1134,-0.090617482,525
99169,9/30/18,WA,Othello,Adams,Ritzville,14151,1170,0.088372093,783
98356,9/30/18,WA,Centralia,Lewis,Morton,14233,1141,0.17025641,886
